county name,state,county_population_increased_2015_2016,year,female_total_population,female_age_under_5_pct,female_age_5_to_9_pct,female_age_10_to_14_pct,female_age_15_to_19_pct,female_age_20_to_24_pct,female_age_25_to_29_pct,female_age_30_to_34_pct,female_age_35_to_39_pct,female_age_40_to_44_pct,female_age_45_to_49_pct,female_age_50_to_54_pct,female_age_55_to_59_pct,female_age_60_to_64_pct,female_age_65_to_69_pct,female_age_70_to_74_pct,female_age_75_to_79_pct,female_age_80_to_84_pct,female_age_85_and_over_pct,male_total_population,male_age_under_5_pct,male_age_5_to_9_pct,male_age_10_to_14_pct,male_age_15_to_19_pct,male_age_20_to_24_pct,male_age_25_to_29_pct,male_age_30_to_34_pct,male_age_35_to_39_pct,male_age_40_to_44_pct,male_age_45_to_49_pct,male_age_50_to_54_pct,male_age_55_to_59_pct,male_age_60_to_64_pct,male_age_65_to_69_pct,male_age_70_to_74_pct,male_age_75_to_79_pct,male_age_80_to_84_pct,male_age_85_and_over_pct
Greene County,Tennessee,TRUE,2011,35500,4.6,5.6,6.8,4.2,5.8,6,5.9,4.3,8.1,6.9,7.2,7.3,7.1,7.1,4.1,3.4,3.3,2.3,33839,4.9,7.9,6.1,6.8,7,4.6,7.2,7,5.9,7.2,7.3,6.3,5.6,6.1,4.9,2.3,2,1.1
Hamilton County,Tennessee,TRUE,2011,176436,5.7,5.4,6,6.1,6.9,6.3,6.2,5.9,6.9,6.6,7.6,7.5,6,4.8,3.7,3.3,2.3,2.8,164419,6.5,6.2,6.2,6.3,7.6,6.6,6.7,6.7,6.1,7.1,7.4,7.4,6.5,4.2,3.3,2,1.9,1.3
Knox County,Tennessee,TRUE,2011,224272,5.9,5,6.2,6.3,8.5,7,6.5,5.7,7.2,6.8,7.1,6.4,6.2,4.6,3.1,2.7,2.2,2.5,212657,5.9,6.6,6.4,7.1,9,7.1,6.7,6.3,6.7,7.2,7.4,6.2,5.9,3.7,2.9,2.2,1.5,1
Madison County,Tennessee,TRUE,2011,51790,6.1,7.2,5.1,7.8,7.1,6.9,6.4,4.7,7.1,6.7,8.1,6.5,5.9,3.3,4.1,1.9,2.9,2.3,46465,7.3,7.1,7.4,9.4,6.7,5.1,6.7,4.4,7.3,6.5,7.5,7.5,5.2,4.2,3,2,1.4,1.3
Maury County,Tennessee,TRUE,2011,41055,5.8,6.9,5.2,7.2,4.4,6.5,6.7,5,6.8,8.4,7.5,8,6.6,5,2.8,1.3,2.5,3.4,40454,7.1,8.1,6.9,6.4,5.6,5.9,8.1,6.3,5.8,8.1,7.1,6.2,7.3,3.8,3.1,1.6,0.7,1.7
Montgomery County,Tennessee,TRUE,2011,90647,8.2,9,5.5,6,9.7,9.4,8.6,7.1,6,6.6,5.8,4.8,3.8,3.4,2.2,1.3,1.2,1.1,85972,8.5,9.5,6.3,7.8,9,9.5,9,7.6,5.8,6,5.5,5.4,3.5,2.1,1.8,1.6,0.9,0.5
Putnam County,Tennessee,TRUE,2011,37641,5.6,5,6,8.7,10,5.1,5.2,6.8,6.3,6.4,6.3,5.7,6,4.9,3.8,3,2.7,2.4,35317,6.8,5.1,6.1,12.6,7.6,5.9,5.8,5.3,7.8,6.6,6.7,6.6,4.3,4.9,2.9,2.5,1.7,0.9
Robertson County,Tennessee,TRUE,2011,35338,9.2,8.5,5.1,6.1,6.4,6.5,5.7,6.6,5.7,7.3,7.7,5.6,6.8,2.8,4.2,1.9,1.8,2.1,31768,5.1,8.7,5.9,6.1,6.5,6.7,7.7,4.6,8.3,8.1,8.3,6.1,7.3,4.3,2.5,2.4,0.9,0.6
Rutherford County,Tennessee,TRUE,2011,135552,6.2,8.4,6.1,7.5,8.3,7.5,7.7,6.3,8.9,6.7,6.8,5,5.1,3,2.2,1.9,0.9,1.5,133369,8,6.4,8.1,7.5,8.7,8.3,7.6,8.8,6.3,6.5,6.5,5,4.6,3.2,1.9,1.1,0.9,0.6
Sevier County,Tennessee,TRUE,2011,46939,7.1,3,8.4,6.6,6.1,4.8,5.1,5.9,7.3,7.2,7.7,7,7.2,5.8,3.8,3.2,2.4,1.3,44527,7,6.9,5.7,6.2,9.5,4.7,5.1,5.7,6.6,7.3,7.5,6.4,6.8,5.4,4,3,1.3,0.9
Shelby County,Tennessee,FALSE,2011,489396,6.7,6.2,7.2,7.2,7.1,7.1,6.9,6.6,6.5,7.1,7.3,6.4,5.7,3.2,3,2.2,2,1.6,445692,7.7,7,8,8,7.7,7.4,6.9,6.2,7.1,6.8,6.9,6,5.5,3.2,2.1,1.5,1,1
Sullivan County,Tennessee,FALSE,2011,81540,4.6,4.6,6.4,5.4,5.4,5,5.5,6.8,5.5,7.2,7.6,5.9,9.1,5,5.6,3.9,2.9,3.5,75879,5.2,5.3,6.6,6.3,5.6,5.1,5.7,6.4,6.9,7.7,7.5,7.3,6.7,6.2,4.5,3.6,1.7,1.5
Sumner County,Tennessee,TRUE,2011,84625,5.1,6.5,7.7,6.3,4.6,6.2,7.3,6.8,7.2,7.3,7.6,5.7,7.1,5.1,3.3,2.1,1.6,2.5,79061,6.9,5.8,9,6.5,6.6,5.7,6.3,6.7,7.5,7.8,7.5,5.9,6.5,3.9,3.5,1.5,1.2,1.3
Washington County,Tennessee,TRUE,2011,63072,4.4,4.4,6.8,6.4,8,6.4,5.7,7.6,5.9,6.6,7.5,7,6.3,4.9,3.9,2.8,1.9,3.5,61281,5.4,6.5,5.3,6.6,7.4,5.7,6.9,5.6,8.6,7.4,7.2,6.2,7.1,3.8,4.9,2.3,1.6,1.6
Williamson County,Tennessee,TRUE,2011,95357,5.9,8.1,8.3,6.8,3.5,4.3,6.3,7.5,8,9.7,8.3,7.2,5.1,3.8,2.3,2.8,0.7,1.4,93203,6.3,8.5,10.8,7.2,3.3,3.9,6.2,7.6,6.9,8.6,8.7,6.4,6.1,4,2.1,2,0.8,0.7
Wilson County,Tennessee,TRUE,2011,59761,6.1,7.4,5.9,5.9,5.6,5,5.9,6.7,8.3,8.7,7.4,6.6,6.7,5.2,3.2,2.6,1.4,1.5,56856,6.1,5,10,7.8,5.2,5,5.8,6.3,8.5,8.3,7.9,5.9,6.8,4.9,2.9,1.8,1.6,0.4
Angelina County,Texas,FALSE,2011,43953,6.6,7.5,6.9,7.1,6,5.8,6.4,6.7,5.8,6.9,6.6,4.6,7.8,4.2,3.4,2.5,2.7,2.6,43716,6.7,8.7,7.8,8.4,6.7,4.9,7.3,4.6,7,7.2,6.6,5.5,6.6,4.7,2.2,1.8,1.4,2
Bastrop County,Texas,TRUE,2011,35831,3,6.3,8.7,5.1,4,6.3,3.8,9.1,2.8,8.3,11.5,10.4,7.5,3,3.2,2.9,2.9,1.3,39284,6.9,5.3,7.9,10.9,3.6,4.4,3.5,7.9,7.1,9.3,8.8,9.8,3.9,5.8,1.5,1.4,0.5,1.5
Bell County,Texas,TRUE,2011,159483,8.6,8.9,5.6,6.8,8.9,9,7.5,6.9,6.3,6.2,6,4.3,5.1,3.1,2.1,1.4,1.6,1.6,155713,9.4,8.9,6.6,7.6,9.5,9.8,7.7,6.7,5.9,5.8,5.7,4.8,3.8,2.7,2,1.5,0.9,0.8
Bexar County,Texas,TRUE,2011,894563,7.2,7.1,7.4,7.2,7.4,7.6,7,6.8,6.5,6.7,6.5,5.6,5.2,3.3,2.8,2.1,1.6,1.9,861590,7.9,7.6,7.9,7.9,8.1,8,7.3,6.6,6.8,6.8,6.2,5.3,4.6,3.2,2.1,1.7,1.1,0.9
Bowie County,Texas,TRUE,2011,46054,6.7,5.1,8.3,7.5,5.2,7,6.6,5,6.3,6.8,6.4,7.5,4.8,5.1,3.2,4.1,2.1,2.2,46739,6,7.4,6,8.3,7.2,7.7,7,6.9,5,7.5,7.5,5.1,6.5,3.6,4,2.2,1.3,0.9
Brazoria County,Texas,TRUE,2011,157295,8.1,8.4,6.6,6.4,5.7,6.7,7.5,8.1,6.3,7.5,7.3,5.5,5.2,4.1,1.7,1.7,1.6,1.8,162678,7.4,8.2,7.5,7,5.9,6.1,7.6,7.6,7.3,7.3,7.5,7.2,4.3,3.3,2.4,1.6,0.7,1
Brazos County,Texas,TRUE,2011,97200,5.9,4.8,6.5,10.1,22.7,8.7,6.6,4.9,4.3,4.8,4.6,4.4,3.9,2,2.2,1.2,1.3,1.2,100432,6.7,6,5,11.6,24.2,8.6,6,5,4.3,5.1,4.5,2.9,3.9,2.5,1.4,1.5,0.6,0.5
Cameron County,Texas,FALSE,2011,214723,8.4,9.2,8.3,8.1,6.6,6.1,6.6,7,6.2,6,5.7,4.8,4.9,3.4,3,2.8,1.7,1.3,199400,9.3,9.9,9.9,9.3,6.9,6.3,6.2,5.8,6.5,5.4,5.3,5.3,3.7,3.2,2.6,2,1.4,0.9
Collin County,Texas,TRUE,2011,412655,7,8.4,7.6,6.2,5,6.6,7.7,8.4,8.8,8.1,7,5.3,5,2.9,2.4,1.3,1.4,0.9,399571,7.5,8.8,8.3,7.5,4.9,6.2,7.3,8.3,8.6,8.4,7.1,5,4.7,3.4,1.6,1.2,0.5,0.6
Comal County,Texas,TRUE,2011,56345,5.4,6.2,6.8,5.7,3.8,5.2,5.4,5.3,6.2,8.3,8,6.7,9.8,5.8,3.7,2.6,3,2.3,55618,6,7.3,6.9,7.9,5,4.9,3.6,6.9,6.9,7.1,7.9,7.1,7.5,4.5,5.1,1.9,1.5,1.9
Coryell County,Texas,FALSE,2011,39240,7.8,6.8,8.2,7.9,11,7.5,9.2,7.4,5.7,6.3,4.9,4.9,3.3,3.2,1.9,3.1,0.4,0.4,37268,8.3,10.7,6.6,6,10,10,9,8,7.2,6.4,4.1,3.7,2.5,2,2,1.6,1.5,0.4
Dallas County,Texas,TRUE,2011,1219762,7.9,7.7,7,6.8,6.9,8.1,7.8,7.1,7.1,6.7,6.5,5.5,4.7,3.2,2.2,1.8,1.6,1.5,1196252,8.5,8.3,7.2,7.3,7.4,8.3,8.1,7.1,7.4,6.9,6.5,5.1,4.3,2.8,1.8,1.4,0.8,0.7
Denton County,Texas,TRUE,2011,348011,7.1,7.4,7.7,6.9,7.5,7.4,7.7,8.7,7.3,7.6,6.8,5.7,4.3,3.3,1.5,1.5,0.8,0.9,338395,7.6,8.3,7.9,7.3,7.5,7.5,7.3,7.8,8.2,7.9,6.7,5.4,3.8,3.3,1.5,0.9,0.7,0.4
Ector County,Texas,FALSE,2011,70587,8.6,7.1,8.6,6.6,7.7,7.6,6.8,5.1,6.7,6.3,6.8,7.1,3.6,3.5,2.4,1.2,2.5,1.8,69524,8.9,8.2,8.6,7.7,8.3,7.9,7.4,4.5,6.8,6.2,6.8,5.3,4.7,3.1,2,1.3,1.3,0.9
Ellis County,Texas,TRUE,2011,77492,6.8,9.7,6,7.5,6.1,6.2,5.9,9.1,5.6,6.8,7.1,6.4,5.6,3.6,2.7,2.8,1.1,0.7,75261,7.5,8.7,8.1,8.7,6,5.7,6.4,8,7.3,6.8,6.2,6.7,4.9,4.4,1.4,1.8,1.1,0.3
El Paso County,Texas,TRUE,2011,421336,7.7,7.6,8.2,7.9,7.7,6.9,6.3,6.5,6.7,6.4,6.3,5.2,4.7,3.3,2.8,2.4,1.5,1.9,399454,8.4,8,9.3,9.2,8.6,7.6,6.4,6.6,6.1,6.2,5.8,5.1,4.1,2.7,2.2,1.6,1.3,0.9
Fort Bend County,Texas,TRUE,2011,308090,7,7.3,8.7,7.3,5.1,5.8,7,7.4,8.9,7.8,7.8,6.3,5.2,2.6,2.4,1.2,1.2,1,298863,7.5,9,8.6,8,5.8,5.8,6.4,7.8,7.2,7.6,7.7,6,5.5,3.5,1.5,0.8,0.8,0.6
Galveston County,Texas,TRUE,2011,149203,6.3,6.7,7.3,6.2,6.3,6.4,6.6,7.1,6.1,7.6,8.2,6.8,5.7,4.1,2.9,2.4,1.6,1.8,146544,7.6,7.5,6.8,7.7,6.2,6.1,6.7,6.2,6.7,7.4,8.2,6.9,5.7,3.4,3.3,1.9,1.1,0.7
Grayson County,Texas,TRUE,2011,63063,5.6,5.9,7.7,5.8,6.4,5.5,5.9,5.2,6.6,6.8,7.6,8.6,5.7,4.5,4.3,2.1,1.9,3.8,58356,6.3,8.7,5.8,7.2,6.4,5.1,6,6.4,5.8,7.6,7.5,6.2,6.4,4.4,4.5,2.6,1.9,1.1
Gregg County,Texas,FALSE,2011,62865,7.2,8.8,4.5,5.7,7.7,6.1,6.4,6,6,7,6.7,5.9,6.3,4.5,3.4,2.8,2.8,2.3,60216,7.7,7.4,7.3,8.5,8,7.1,6.8,5.5,7.1,5.9,6.5,4.8,5.7,3.3,3,2,1,2.1
Guadalupe County,Texas,TRUE,2011,69326,6.1,5.5,9.6,7.5,5.1,5.7,6.7,7.8,7,7.4,7.3,5.7,6.2,4.2,2.4,1.9,2.2,1.6,66431,7.3,9.9,6.2,7.1,6.2,6.2,5.8,7.1,7.8,7.6,6.8,6.3,4.6,4.8,1.7,2.6,1.5,0.6
Harris County,Texas,TRUE,2011,2099099,8,8,6.9,6.8,7.1,8,7.8,7.2,7,6.6,6.7,5.8,4.6,3.1,2.2,1.6,1.3,1.3,2081795,8.4,8.2,7.5,7.4,7.4,8.4,8.1,7.4,7,6.6,6.5,5.7,4.1,2.8,1.8,1.3,0.7,0.6
Harrison County,Texas,FALSE,2011,33757,5.8,7.3,7.5,6.2,7,5.3,6.9,5.4,5.5,8.6,7.2,5.5,7.5,4.8,2.4,3.1,1.9,2.1,32539,8.5,9.3,5.6,8.1,6.5,5.6,6.7,5,4.8,6.3,9.8,7.1,5,4,2.2,4,0.7,0.8
Hays County,Texas,TRUE,2011,81516,7,7.4,5.4,8,13.4,6.2,6,8.1,4.6,7.3,6.1,5.3,6.4,3.7,1.7,1.4,1,1,82534,6.5,7.6,6.5,10.4,12.3,8,6.4,7.4,5.6,6,5.6,6.5,3.9,2.5,2.3,1.7,0.5,0.5
Henderson County,Texas,TRUE,2011,40243,5.5,8.2,3.8,6.1,5.8,5.2,4.4,4.3,7.1,7.2,6.8,7.7,6.4,7.7,4,4.5,2.9,2.5,38583,6.5,7.7,5.8,7,5.8,4.6,4.5,5.8,5.6,7.7,7.4,6.8,7.1,6.3,4.2,2.9,2.5,1.9
Hidalgo County,Texas,TRUE,2011,407878,9.4,9.3,9.2,8.3,7.5,6.8,6.9,7.9,5.6,5.5,5.1,4.5,3.8,3.3,2.4,2.1,1.1,1.4,389932,10,10.7,9.4,9.4,7.7,6.9,6.7,7.8,5,5.4,4.7,3.5,3.9,2.7,2.3,1.9,1.3,0.6
Hunt County,Texas,TRUE,2011,44016,5.9,7.7,6.4,5.9,7,5.7,6.4,6.1,8,6.9,6.9,5.6,7.2,4.4,3.5,1.5,2.1,2.9,42515,7.2,7.7,7,7.9,7.5,5.3,7,6.6,5.7,7,7,6.8,5.4,3.7,3.8,1.7,1.2,1.6
Jefferson County,Texas,TRUE,2011,123596,6.9,5.6,7.5,6.6,7.6,6.8,6.3,5.1,6.5,6.8,7.2,6.1,5.9,4.1,3.1,3,2.1,2.7,129206,6.9,5.4,7.5,6.8,7.9,8.2,7.6,6.8,6.2,7.3,7.5,6.3,5.5,3.8,1.8,2.3,1.3,1
Johnson County,Texas,TRUE,2011,77342,6.7,8.4,6.4,6.7,6.2,6.4,6.6,6.6,6.7,7,6.9,6.9,5.6,3.5,3.9,2.9,1,1.5,75392,7.8,7.6,7.9,7.3,6.7,5.3,6,7.4,7.1,7.5,6.8,6.7,4.8,4.3,2.9,1.8,1.2,0.9
Kaufman County,Texas,TRUE,2011,52685,6.9,6.1,9.2,5.9,6.9,5.2,6.2,7.9,7.3,7.6,7,6.2,5.8,4.4,2.5,2,1,1.8,52673,7.9,7.5,9.3,9.3,5.5,5.2,6.4,6.5,8,7.3,7,4.8,5.6,3.3,3.1,1.5,0.8,0.9
Liberty County,Texas,TRUE,2011,39452,6.7,6.8,7.5,5.8,6.6,6,8.1,6.7,7.5,6.8,6.9,6.7,4.7,4.4,3.2,2.9,1,1.6,36754,7.8,7.7,6.2,6.9,5.5,7.6,6,7.2,7.3,7.5,7.5,8,4.4,4.6,1.9,1.9,1,0.8
Lubbock County,Texas,TRUE,2011,143970,7,7.3,5.7,8.6,11.9,7.2,6.3,5.4,6,5.6,6.1,6.1,4,3.4,3.2,2.4,1.7,2,139940,7.2,5.9,7.8,8.9,13.7,7.9,6.7,4.9,6.1,5.7,6,5.4,4.3,3.5,2,1.6,1.5,0.9
McLennan County,Texas,TRUE,2011,122752,6.7,6.8,6.4,8.7,10.3,6.6,6,5.6,5.7,6.1,6.3,6.1,4.9,3.6,3.2,2.4,2.1,2.6,115812,7.5,7.4,7,9.5,10.1,6.6,6.1,5.1,6.2,6.3,6.4,6.3,4.4,3.7,2.7,1.7,1.7,1.2
Midland County,Texas,TRUE,2011,71307,7.5,6.8,7.3,7.5,6.5,8.7,6.3,5.4,6.7,6.3,7.6,6.7,4.6,2.7,2.8,2.9,2.4,1.2,69001,8.4,8,7.5,7.3,7.2,8.6,7.4,5.2,6.3,6.1,7.5,5.6,5.2,3.8,1.5,1.7,1.3,1.3
Montgomery County,Texas,TRUE,2011,239089,7.2,7.5,7.7,6.8,5.4,6.1,6.6,6.2,8.1,7.5,7.3,6.1,5.7,3.8,3.4,2,1.5,1.2,232645,7.3,8.6,7.5,7.2,5.9,6.2,6.6,7.5,6.6,7.5,7.6,6.5,5.1,3.3,3.2,1.7,0.9,0.8
Nacogdoches County,Texas,TRUE,2011,34432,6.2,6.3,5.9,11.4,13.5,6,5,5.3,5.2,5.3,5.9,5.1,4.9,3.7,3.1,2.1,4,1,31034,8.3,5.2,8.5,9.1,12.7,8.6,5.3,4.9,6.5,4.4,6.3,6.9,3.8,3.1,2.4,1.6,1.6,0.7
Nueces County,Texas,TRUE,2011,175243,6.7,7.5,6.8,6.8,7.2,6.9,6.9,5.3,6.4,6.6,7,6.1,6.1,3.1,4,2.4,2.3,1.9,168038,7.2,7.9,6.9,7.8,7.5,7.3,6.4,5.6,6.6,6.8,7.1,6.4,5.7,4,2.2,2.5,1.3,0.8
Orange County,Texas,TRUE,2011,41212,5.5,6.1,8.3,6.7,5.4,6.7,6.6,6.1,6.2,7.2,7,6.8,5.5,3.8,4.7,2.9,3,1.5,41275,6.3,8.3,7.8,6.2,5.4,6.2,5.9,6.6,5.2,7.8,9.1,7.6,5.3,4.3,3.1,2.5,1.4,1.1
Parker County,Texas,TRUE,2011,58875,5.7,6.4,7.6,7.4,4.8,5.3,6,6.4,7.1,8,8.2,8.5,4.9,4.6,3.1,2.6,1.4,2,59501,6.2,6.6,7.6,7.3,6.3,6.1,6.1,5.6,7,8.3,8.5,5.9,7,4.7,2.7,2.2,1.5,0.3
Potter County,Texas,FALSE,2011,59579,8,8.1,7.4,7.4,7.5,7.1,7.3,6.5,5.2,6,6.2,4.8,5.7,3.5,2.8,1.7,2.5,2.4,62706,9,8.7,6.4,6.9,6.9,7.9,7.3,8.4,5.4,6.9,6.9,4.8,5.2,2.9,2.3,2,1.2,0.7
Randall County,Texas,TRUE,2011,63334,5.8,7,6.2,7.4,8.2,6.2,7,6.2,6,7.3,6.5,6.8,5.6,3.8,3.6,2.5,2,1.9,60017,7.1,6.9,7.9,7.8,7.7,7,6.4,6.5,6.7,6.9,6.3,6.8,4.6,3.7,2.8,2.8,1.5,0.5
Rockwall County,Texas,TRUE,2011,41300,7.4,5.8,9.2,8.2,3.9,5.6,6.5,7.3,7.4,9,7.9,6.2,4.8,3.4,2.9,1.8,1.3,1.4,39990,7.4,6.6,10.8,8.3,6,4.7,6.8,8.1,6.3,8.4,6.6,5.5,5.1,4,3.4,0.5,0.5,0.9
San Patricio County,Texas,TRUE,2011,32348,7.4,7.1,7.4,6.9,7,5,4.2,5.4,8.2,7.3,7,6.7,5.8,6.1,2.5,2.4,2.3,1.2,32378,6.8,6.4,9.8,11.2,5.4,5.2,6.3,5.4,6,6.9,6.5,6.7,5.6,3.8,3.8,2.4,1.4,0.5
Smith County,Texas,TRUE,2011,110281,6.8,5.9,7.5,6.5,8,6.6,6.2,6.7,5.6,6.1,6.8,6.8,4.9,3.5,4.4,3.1,1.7,3,103100,7.5,7.4,7.6,7.7,7.9,6.8,6.5,6.4,6.1,6,5.9,5.6,6,3.7,3.7,2.1,1.7,1.6
Tarrant County,Texas,TRUE,2011,942207,7.5,7.1,7.9,6.8,6.8,7.5,7.3,6.9,7.5,7.2,6.8,5.6,5,3.2,2.3,1.8,1.5,1.5,907608,8,8.2,8.1,7.4,6.9,7.5,7.3,7.2,7,7.3,7,5.4,4.7,2.9,2,1.3,1,0.7
Taylor County,Texas,TRUE,2011,68262,7,7.3,6.2,8,9,7.4,5.6,3.7,6.7,6.1,6.8,5.5,5.6,4,3.6,3.2,2.2,2.1,64493,7.9,7.2,5.3,6.4,12.8,7.9,7,4.3,6.9,5.7,6.6,6.6,4.3,3.3,2.7,2.4,1.4,1.3
Tom Green County,Texas,TRUE,2011,56709,6.3,8.3,3.9,7.6,9.1,6.9,6.3,4.7,5.8,6.4,7.2,6.2,6.1,3.9,3.4,3.8,2.2,1.9,55114,7.5,7.8,5.9,8.9,9.4,8.4,6.1,4.8,5.4,6,6.3,7.2,4.2,4.1,2.5,2.2,2.2,0.9
Travis County,Texas,TRUE,2011,526714,7.3,6.8,6.1,6.1,9.2,9.7,8.8,7.3,7.4,6.5,6.4,4.9,5.1,3,1.6,1.4,1.1,1.4,536416,7.5,7.1,6.2,6.3,9.2,10.1,9.3,8.5,7.2,6.6,6.2,5.1,4.2,2.6,1.4,1,0.9,0.6
Victoria County,Texas,TRUE,2011,44479,6.6,8.8,5.4,6.2,6.3,6.6,6.3,6.3,7.3,5.7,7.2,7.9,4.9,4,3.6,3.1,2.4,1.6,43066,9.3,6.7,8.1,8,5.7,6.5,6.1,5.3,5.7,6.7,7.9,6.3,5.8,3.1,3.8,2.6,1.3,1.1
Walker County,Texas,TRUE,2011,28213,7.3,6,3.2,15.9,13.3,2.8,6.8,3.7,6.4,4.7,6.1,7.1,4.3,4.2,2.6,2.5,1.9,1.3,39874,1.8,2.8,3.3,6,13.4,8.9,8.7,8.1,9.5,8.5,9.3,6.2,4,3.9,2,2.1,1.3,0.3
Webb County,Texas,TRUE,2011,131130,9.4,10,8.1,8.9,7.3,6.9,7,7.9,5.7,6,5.6,4.3,3.9,3,2,1.9,0.9,1.3,125366,10.9,10.2,9.7,9.7,7.7,7,6.8,6.9,6.5,5.7,4.9,3.9,3.6,2.8,1.2,1.2,0.6,0.9
Wichita County,Texas,TRUE,2011,64025,6.7,5.5,7.8,6.5,8.8,6.8,5.5,5.4,5.7,6.9,7.5,5.5,5.8,3.9,3.7,3.7,2.3,2.1,66673,7.3,5.6,6.3,8.9,10.8,7.8,6.5,5.8,4.7,7.1,7.6,7.3,3.8,3.2,2.5,2.3,1.4,1.2
Williamson County,Texas,TRUE,2011,225239,7.2,8.1,7.8,6.2,5.5,6.5,8.1,8.2,8.4,7.2,6.5,5.2,5.2,3.1,2.7,1.9,1.2,1.2,217543,7.6,9.3,8.3,6.7,5.7,6.5,7.9,8.5,8.8,7,6.1,4,5.2,3.3,2.1,1.7,0.8,0.5
Cache County,Utah,TRUE,2011,57450,9.4,9.2,7.7,9.7,13.2,8.8,6.7,5.9,4.2,4.7,4.6,4.9,2.5,2.8,1.7,1.1,1.6,1.5,57249,10.1,9.4,8.1,8.4,12.8,9.7,7.4,5.6,3.9,4.7,5,4.6,3.4,2.1,1.8,1.2,0.9,1
Davis County,Utah,TRUE,2011,155201,9.6,10.4,8.3,7.2,6.4,7.6,8.1,7,5.9,5.6,5.9,4.4,4.4,2.8,2,1.8,1.4,1.2,156610,10.2,11.4,8,7.7,7.2,6.7,8.1,7.7,5.4,5.5,5.7,4.8,3.9,2.6,1.8,1.5,1.1,0.7
Salt Lake County,Utah,TRUE,2011,520754,8.4,7.7,8.2,6.6,7.7,8.4,8.4,6.6,6.4,5.8,6,5.2,4.7,2.9,2.3,1.9,1.4,1.4,528231,8.8,9,7.2,7.1,7.9,8.7,8.7,7,6.7,5.8,5.8,5.3,4.2,2.8,1.8,1.4,0.9,0.8
Utah County,Utah,TRUE,2011,264443,10.6,9,9.7,9.9,11.8,7.9,7.8,6.1,4.9,4.1,4.1,3.6,2.9,2.7,1.4,1.2,1,1.1,266056,11.4,10.3,9.2,9.2,12.5,8.1,7.7,6,5.3,4.3,4.1,3.8,2.4,1.9,1.4,1.1,0.7,0.7
Washington County,Utah,TRUE,2011,70884,9.9,5.8,8.3,7.4,6.5,6.2,6.3,3.7,6.3,5,5.2,5.5,5.4,5.3,4.9,2.9,2.5,3,70782,8.6,10.7,7.9,8.1,5.8,6.5,6.1,5.5,5.3,4.3,4.2,5.4,4.2,4.3,5.2,3.8,2.2,2
Weber County,Utah,TRUE,2011,116648,8.6,7.8,8.4,7.1,7.4,8.1,7.7,6,5.6,5.8,6.2,5.8,4.5,3.3,2.2,2,1.5,1.9,117772,8.7,7.8,9.5,7.3,7.6,8.1,8.3,6.3,6.1,5.8,6.1,5.5,4.2,2.2,2.6,1.5,1,1.4
Chittenden County,Vermont,TRUE,2011,81095,4.8,4.5,5.9,8.9,10.4,6.4,6.5,6.2,6.5,7,7.8,5.9,6.1,4.1,2.6,1.6,2.6,2.3,76396,5.2,5.6,5.7,9,10.9,6.8,6.5,6.3,6.8,6.9,8,6.6,5.7,3.3,2.7,1.9,1.1,1
Albemarle County,Virginia,TRUE,2011,52299,5.1,5.5,5.3,7.5,9.4,8.3,5.6,3.9,5.6,6.2,8,7.2,6.6,5,3.3,2.4,2.3,2.9,48254,6.6,5.7,7.2,9.4,7.9,7,5.9,5.7,6.4,6.5,7.1,5.6,6.9,3.8,2.9,1.6,1.9,1.9
Arlington County,Virginia,TRUE,2011,108414,6.2,5.6,2.8,3.2,7.7,16.3,11.8,7.8,7.6,5.8,5.5,5.8,4.3,3.1,2,1.6,1.3,1.7,107590,5.3,4.9,3.2,3.9,7.4,15.8,12.8,7.9,9.4,6.4,5.4,6,3.5,2.9,2.3,0.9,1.1,0.8
Augusta County,Virginia,TRUE,2011,36300,5.4,4.5,7.1,6.6,4.6,5,5.2,6.1,6.8,8.1,8,6.7,8.3,6.8,3,2.9,2.3,2.4,38597,4.7,6.4,5.2,6.7,6.6,6.3,6.2,6,6.6,7.9,8.2,8.2,5.9,5.5,3.2,2.7,2.5,1.2
Bedford County,Virginia,TRUE,2011,35025,4.9,6.9,6.9,5.8,4,4.2,5,7.9,7.4,7.3,9,8.4,6.1,4.6,4.7,2.6,3.4,0.7,34221,6.1,6.9,6.5,7.5,4.6,4,4.6,5.6,7.7,7.1,8.1,9.2,5.6,5.4,3.2,3.6,2.7,1.6
Chesterfield County,Virginia,TRUE,2011,166972,5.9,6.3,7.1,7.1,5.9,5.6,6.5,7.1,7.2,8,8,7.6,5.8,3.9,2.8,1.7,1.8,1.7,153305,6.4,7.4,8.4,7.9,6.1,6,5.9,6.6,7.3,7.7,7.7,6.5,6.3,3.4,2.8,1.3,1.6,0.8
Fairfax County,Virginia,FALSE,2011,555959,6.5,6.7,6.2,6,5.1,7.1,7.4,6.9,8.3,8.1,7.9,7.1,5.7,3.8,2.4,1.8,1.3,1.7,544733,6.9,6.5,7.3,6.7,5.5,7.5,7.5,7.1,7.8,7.9,7.7,5.8,6.3,3.7,2.3,1.5,1.1,0.7
Fauquier County,Virginia,TRUE,2011,33266,5.3,8.1,3.3,7.4,6.8,4.8,4.7,4.5,6.5,10.1,8.7,8,6.4,5.4,2.8,3.5,1.5,2.1,33054,7.7,6.3,7.4,6.5,6.3,4,5.4,4.3,7.8,8.4,9.2,6.6,6.6,4.9,3.7,2.6,1.9,0.4
